FindMyTemple_ID,Temple_Name,District,City,Taluk,Pincode,Main_Deity,Best_Match_ID,Best_Match_Name,Match_Score,Match_District
t181,Aabathsahayeswarar Temple,Tanjore,Aduthurai,,612204,Sri Aabathsahayeswarar,TM018106,Arulmigu Aabathsagayeswara Swamy Temple,66.8,Thanjavur District
t159,Aadhikumbeswara Swamy Temple,Thanjavur,Kumbakonam,,612001,Sri Aadhikumbeswarar,TM018019,Arulmigu Aadhikumbeswaraswamy Temple,78.5,Thanjavur District
t163,Aadhi Kambatta Viswanathar Temple,Thanjavur,Kumbakonam,,,Sri Aadhi kambatta Viswanathar Swamy (Form of Shiva),TM018509,Arulmigu Aathekambataviswanathar Temple,71.4,Thanjavur District
t47,Aaludayar Temple,Tiruchirappalli,Uyyakondan Thirumalai,,,"Aaludayaar (Shiva) in Linga form, 8.5 feet high",TM026345,Arulmigu Palaniyandavar Temple,51.3,Thiruchirappalli District
t276,Aathmanaatheswarar Temple,Thanjavur,Tiruvalampolil,,613103,"Aathmanaatheswarar, Vadamooleswarar",TM014109,Arulmigu Abayavaratheswarar Temple,46.7,Thanjavur District
t57,Athmanathar Temple,Pudukkottai,Avudaiyarkoil,,614 618,Athmanathaswamy,TM026099,Arulmigu Gananathar Temple,45.7,Pudukkottai District
t271,Abathsahayeswarar Temple,Nagapattinam,Ponnur,,609203,"Abathsahayeswarar, Ligusaranyeswarar, Agneeswarar, Pandathaveswarar",TM014690,Arulmigu Abathsahayaeswarar Temple,58.3,Nagapattinam District
t213,Amirthavalli and Abimugeshar Temple,Tanjore,Kumbakonam,,,Shri Abimugeshar,TM018687,Arulmigu Chidambaram Chettiyarkattalai Attached Arulmigu Abimukeshwarer Temple,49.3,Thanjavur District
t1,Anandhavalli Udaltherai Sri Agastheeswarar Temple,Trichy,Perugamani,,,Sri Agastheeswarar (Lord Shiva),TM027238,Arulmigu Agastheeswarar Temple,50.0,Thiruchirappalli District
t229,Agneeswaraswamy (Shukra) Temple,Tanjore,Kanjanur,,609 804,Sri Agneeswarar,TM014190,Arulmigu Agneeswara Swamy Temple,45.0,Thanjavur District
t275,Agneeswarar Temple,Thanjavur,Thirukattupalli,,613104,"Agneeswarar, Theeyadiappar",TM018039,Arulmigu Akneeswarar Temple,54.5,Thanjavur District
t94,Agneeswara Swamy Temple,Nagai District,Thirupugalur,,609 704,"Agneeswarar, Saranyapureeswarar, Konapiran",,,0,
t197,Airavatheeswarar Temple,Kumbakonam,Darasuram,,612702,Airavatheeswara (Airavatham),,,0,
t123,Alanduraiyar Temple,Ariyalur,Keezhapalur,,621707,"Sri Alanduraiyar (Vadamoolanadhar, Yogavaneswarar)",TM025256,Arulmigu Alanthuraiyar Temple,52.8,Ariyalur District
t222,Abath Sagayeswarar(Guru) Temple,Thiruvarur,Alangudi,,612801,Abath Sagayeswarar,TM014252,Arulmigu Abathsagayeswaraswamy Temple,62.7,Thiruvarur District
t232,Amirdhagadeswarar Swamy Temple,Nagapattinam,Thirukadaiyur,,609311,Sri Amirdhagadeswarar Swamy,TM015791,Arulmigu Arunachaleswarar Swamy Temple,45.3,Nagapattinam District
t174,Amirdhagadeswarar Swamy Temple,Thanjavur,Sakkottai,,612 401,Sri Amirdhagadeswarar Swamy,TM018087,Arulmigu Amirthakalasanatha Swamy Temple,60.9,Thanjavur District
t18,Amravaneswarar Temple,Trichy,Mandurai,,621 703,Sri Amravaneswarar,TM025766,Arulmigu Ambaravanaswarar Temple,52.0,Thiruchirappalli District
t6,Analadeeswarar Temple,Trichy,Thottiyam,,,Analadeeswarar (Lord Shiva),TM025842,Arulmigu Analadeeswerer Temple,71.4,Thiruchirappalli District
t243,Annamalaiyar Temple,,Thiruvannamalai,,606601,Annamalaiyar (aka Arunachaleswarar),TM002123,Arulmigu Annamalaiyar Temple,60.0,Tiruvallur District
t285,Apathsahayar Temple,Tanjore,,Thiruvaiyaru,,Apathsahayar,TM018001,Arulmigu Abathsagayeswarar Temple,41.4,Thanjavur District
t59,Arangulanathar Temple,Pudukkottai,,,,Arungulanathar,TM025412,Arulmigu Aadanganaathar Temple,47.1,Pudukkottai District
t29,Arasankudi Shiva Temple,Trichy,,,,Lord Shiva,TM028409,Arulmigu Malayandi Sivan Temple,42.6,Thiruchirappalli District
t221,Artha Nareeswarar Temple,,,,,Artha Nareeswarar,TM000521,Arulmigu Arthanareeswarar Temple,58.2,Chennai District
t177,Arunajadeswarar Temple,,,,,Sri ArunajadeswaraSwamy,TM032960,Arulmigu Arunasaleswarar Temple,52.0,Madurai District
t187,Balukandanadha Swamy Temple,Tanjore,,,,Sri Balukandanadha Swamy,TM018112,Arulmigu Balukanthanatha Swamy Temple,52.7,Thanjavur District
t120,Bhoothalingaswamy Temple,,,,,"Bhootha Linga Swamy, Sivagami Ambal",TM038680,Arulmigu Boothalingaswamy Temple,58.2,Kanyakumari District
t9,Brahmapureeswarar Temple,Trichy,,,,Brahmapureeswarar,TM044913,Arulmigu Biramapureeshwarar Temple,54.9,Thiruchirappalli District
t190,Brahmapureeswarar Temple,,,,,Shri Brahmapureeswarar,TM014164,Arulmigu  Brahmapureeswarar  Temple,60.0,Thanjavur District
t14,Brahma Sira Kandeeswarar Temple,Thanjavur,Thirukkandiyur,,,Brahma Sira Kandeeswarar,TM044752,Arulmigu Brammanandheeswarar Temple,44.7,Thanjavur District
t124,Brihadiswara Temple,,,,,Brihadeeswarar,TM025888,Arulmigu Raviswarar Temple,43.6,Thiruchirappalli District
t227,Kailasa Nathar Temple,Tanjore,,,,Kailasa Nathar,TM014049,Arulmigu Kailasanathar Temple,57.8,Thanjavur District
t30,Chandrasekhara Swamy Temple,,,,,"Chandrasekhara Swamy, Nandi",TM020957,Arulmigu Chandrasekara Swamy Temple,58.5,Cuddalore District
t131,Chidambaram Natarajar Temple,Cuddalore,Chidambaram,,,Natarajar,TM022160,Arulmigu Utchikala Kattalai,50.8,Cuddalore District
t180,Dharmapureeswarar Temple,,,,,Sri Dharmapureeswarar,TM016059,Arulmigu Dharmapureeswarar Temple,60.0,Nagapattinam District
t73,Ekambareswarar Temple,,,,,Ekambareswarar,TM000169,Arulmigu Ekambareswarar Temple,60.0,Chennai District
t41,Erumbeeswarar Temple,Trichy,Thiruverumbur,,,Erumbeeswarar,TM025784,Arulmigu Erumbeeswarar Temple,60.0,Thiruchirappalli District
t233,Ezhuthari Nadheswarar Temple,Tanjore,,,,Sri Ezhutharinadar,TM014149,Arulmigu Othanaeswarar Temple,42.4,Thanjavur District
t141,Immayilum Nanmai Tharuvar Temple,,,,,Immayilum Nanmai Tharuvar,TM036133,Arulmigu Immayilum Nanmai Tharuvar Temple,60.0,Madurai District
t40,Jambhukeswarar Temple,,,,,Jambukeswarar,TM009026,Arulmigu Jambukeswarar Temple,57.8,Namakkal District
t77,Sundrambigai Sametha Kachabeshvarar Temple,Kanchipuram District,Kanchipuram,,,Sri Kachabeswarar,,,0,
t207,Kailasanathar Temple,Thanjavur,Senganur,,,Kailasanathar (Lord Shiva),TM014049,Arulmigu Kailasanathar Temple,60.0,Thanjavur District
t164,Kalahastheeswarar Temple,Thanjavur,Kumbakonam,,,Sri Kalahastheeswara Swamy (Form of SHIVA),TM018100,Arulmigu Kalahastheeswara Swamy Temple,69.2,Thanjavur District
t273,Kala Natha Swamy Temple,Kumbakonam,Kollumangudi,,,Kala Natha Swamy (Lord Shiva),,,0,
t101,Kalyana Pasupatheeswarar Temple,Karur,Karur,,,"Kalyana Pasupatheeswarar, Aanilayappar, Pasupathi Nathar",TM025328,Arulmigu Kalyana Pasupatheeswara Swamy Temple,72.1,Karur District
t258,Kalyanasundareswarar Temple,Nagapattinam,Thiruvelvikudi,,,"Kalyana sundareswarar (Manavaleswarar), Koudukeswarar",TM014552,Arulmigu Sundhareswarar Temple,45.9,Nagapattinam District
t184,Kambahareswarar Temple,Thanjavur,Thirubuvanam,,,Sri Kambahareswarar (Shiva Linga),TM014922,Arulmigu Ekambareswarar Temple,53.8,Thanjavur District
t75,Kailasanadhar Temple,Kanchipuram District,Kanchipuram,,,Sri Kailasanadhar (Shiva),,,0,
t295,Kailasanathar Temple,Kumbakonam,Vishnupuram,,,Shri Kailasanadhar,,,0,
t239,Kapaleeswarar Temple,Chennai,Mylapore,,,Kapaleeswarar (Lord Shiva),TM000001,Arulmigu Kapaleeswarar Temple,80.0,Chennai District
t267,Karkadeswarar Temple,Thanjavur,Thirundhuthevankudi,,,Karkadeswarar (Swayambumurthy),TM018168,Arulmigu Karkadeswarar Temple,60.0,Thanjavur District
t167,Karukudinatha Swamy Temple,Kumbakonam,Marudhanallur,,,Sri Karukudinathar (form of Shiva),,,0,
t210,Arulmigu Panapureeshwarar Temple,Thanjavur,Govindapuram,,,Arulmigu Panapureeshwarar (Lord Shiva),TM018167,Arulmigu Panapureeswarar Temple,58.1,Thanjavur District
t116,Thiru Kutrala Natha Swamy Temple,Tirunelveli,Kutralam,,,Thiru Kutrala Nathar Swamy,TM037894,Arulmigu Thirumoolanathaswamy Temple,45.3,Tirunelveli District
t270,Lakshmipureeswaraswamy Temple,Nagapattinam,Thirunandriyur,,,"Mahalakshmeesar, Lakshmipureeswarar, Mahalakshminadhar",TM014671,Arulmigu Vedapureeswaraswamy Temple,46.8,Nagapattinam District
t188,Mahalinga Swamy Temple,Tanjavur,Thiruvidaimarudur,,,Sri Mahalinga Swamy,,,0,
t145,Mangalanthar Temple,Ramanathapuram,Utharakosa mangai,,,Mangalanathar (Shiva),TM035905,Arulmigu Mangalanathaswami Temple,45.5,Ramanathapuram District
t154,Manikarnikeswarar Temple,Tanjore,Thanjavur,,,Sri Manikarnikeshwar,TM014005,Arulmigu Manikarnekeswarar Temple,76.5,Thanjavur District
t166,Kasi Viswanatha Swamy Temple,Thanjavur,Kumbakonam,,,Sri Kasi Viswanatha Swamy,TM018006,Arulmigu Kasiviswanatha Swamy Temple,78.5,Thanjavur District
t115,Sri Kasi Viswanatha Swamy Temple,Tirunelveli,Tenkasi,,,Sri Kasi Viswanathar,TM039284,Arulmigu Kasiviswanatha Swamy Temple,58.5,Tirunelveli District
t186,Manognanadhaswamy Temple,Tanjore,Thiruneelakkudi,,,Sri Manognanadhaswamy,TM018135,Arulmigu Manokkiyanathasway Temple,64.6,Thanjavur District
t2,Marudanda Nadeswarar Temple,Trichy,Aangarai,,,Marudanda Nadeswarar,TM025235,Arulmigu Maruthandeeswarar Temple,45.4,Thiruchirappalli District
t20,Marundheeswarar Temple,Trichy,Koothappar,,,Marundheewarar (Lord Shiva),TM025235,Arulmigu Maruthandeeswarar Temple,52.5,Thiruchirappalli District
t38,Matruraivaradeeswarar Temple,Trichy,Thiruvasi,,,"Matrurau Varadeeswarar (aka Samevaneswarar, matrari Varadhar)",TM027246,Arulmigu Mattrudaivaratheeswarar Tharmam,63.8,Thiruchirappalli District
t261,Mayuranatharswami Temple,Nagapattinam,Mayiladuthurai,,,"Mayuranatharswami, Vallalar, Gowri Mayuranathar, Gowri Thandavaresar",TM014704,Arulmigu Naganathaswamy Temple,42.6,Nagapattinam District
t65,Meenatchi Sundareshwarar Temple,Pudukottai,Arimalam,,,Sundareshwarar (Shiva),,,0,
t211,Nadanapureeswarar Temple,Thanjavur,Thandonthottam,,,Nadanapureeswarar (Lord Shiva),TM018950,Arulmigu Nadanapureeswarar Temple,60.0,Thanjavur District
t225,Thirunaganadha Swamy(Raghu)Temple,Tanjore,Thirunageshvaram,,,Sri Thirunaganadhaswamy,TM046958,Arulmigu Thirukaalanathaswamy Temple,36.2,Thanjavur District
t223,Naganadha Swamy Temple (Kethu Isthalam),Nagai,Keelaperumpallam,,,Sri Naganadha Swamy,,,0,
t160,Nageswarar Swamy Temple,Tanjore,Kumbakonam,,,Sri Nageswarar,TM018044,Arulmigu Naageswara Swamy Temple,76.2,Thanjavur District
t61,Sri Dharma Samvarthini Ambal Samedha Sri Namapureeswarar Temple,Pudukkottai,Alangudi,,,Namapureeswarar,TM025542,Arulmigu Namapureeswarar temple,46.9,Pudukkottai District
t37,Nedungula Nather Temple,Trichy,Thirunedungulam,,,"Nedungalanadhar (Nithya Sundareswarar, Easan)",TM025785,Arulmigu Thirunedungalanathaswamy Temple,36.0,Thiruchirappalli District
t44,Neelivaneswarar Temple,Trichy,Thirupanjali,,,"Neelivaneswarar, Neela Kandeswarar, Vazhai Vananathar, Swetha Giri",TM025846,Arulmigu Gneeliwaneswarar Temple,54.2,Thiruchirappalli District
t105,Sri Nellaiappar - Gandhimadhi Amman temple,Tirunelveli,Tirunelveli,,,Nellaiappar (Shiva),TM037881,Arulmigu Nellaiyappar Arultharum Kanthimathiamman Temple,63.9,Tirunelveli District
t204,Oorudaiappar Temple,Thanjavur,Thiruppandhaal,,,Oorudaiappar,TM019017,Arulmigu Muniappar Temple,40.0,Thanjavur District
t24,Panchavarneswarar Temple,Trichy,Woraiyur,,,"Panchavarneshwarar, Sri Mukkisurathadigal",TM025714,Arulmigu Panchavarnasamy Temple,65.0,Thiruchirappalli District
t171,Pasupadeswaraswamy Temple,Tanjore,Pandanainallur,,,Sri Pasupadeswarar,TM014218,Arulmigu Pasupatheeswara Swamy Temple,52.3,Thanjavur District
t274,Parvatheeswarar Temple,Thiruvarur,Injikudi,,,Parvatheeswarar,TM017214,Arulmigu Parvatheeswarar Temple,60.0,Thiruvarur District
t125,Payaraneeswarar Temple,Ariyalur,Udayarpalayam,,,"Payaraneeswarar, Murkabureeswarar, Payaraneenadhar",TM029121,Arulmigu Payareneeswarar Temple,56.0,Ariyalur District
t250,Sri Piralaya Kaleeswarar Temple,Cuddalore,Pennadam,,,"Piralaya Kaleeswarar (Lord Shiva), Sudar Kozhundeeswarar",TM020411,Arulmigu Piralayakaleyswarar Temple,75.4,Cuddalore District
